codigo_comuna,nombre_comuna,pop_total_x,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k,COMUNA,nombre_comuna_upper,pop_total_y,log_pop_total,pct_unemployed,schooling_gap,age_gap
5101,Valparaíso,284938.0,272618.0,12320.0,4.32,36.8,30.1,11.4,11.9,53.9,63.2,46.98,4821.0,4312.0,421.0,88.0,Sífilis | VIH | Tuberculosis,169.19,24180,22541,1639,6.78,5.6,5.7,4.9,1.92,2.84,Embarazo y parto | Enfermedades circulatorias | Enfermedades digestivas,848.61,0,0,0.0,12.560026891725041,45.69789147112706,-0.5,6.699999999999996
5102,Casablanca,29876.0,27607.0,2269.0,7.59,34.5,28.7,10.8,10.3,56.4,71.8,44.21,312.0,278.0,29.0,5.0,Sífilis | Coqueluche | VIH,104.43,2134,1963,171,8.01,4.8,4.9,4.1,1.78,2.15,Embarazo y parto | Enfermedades digestivas | Enfermedades respiratorias,714.29,0,0,0.0,10.304810761476958,42.43041237113402,0.5,5.800000000000001
13102,Cerrillos,85041.0,71466.0,12732.0,15.0,36.0,34.0,11.725,11.439,60.8,69.5,0.463,642.0,297.0,101.0,244.0,VIH | Parotiditis | Sifilis,75.49,7623,6681,942,12.36,7.39,7.71,5.11,1.7,3.27,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),896.39,0,0,0.0,11.350888772118845,37.88442955889689,0.2859999999999996,2.0
13104,Conchalí,121587.0,103271.0,17686.0,14.54596297301521,39.0,34.0,11.325066467264872,11.98365271802894,0.610039476045218,0.7510392919404586,0.4786029599542751,1134.0,635.0,188.0,311.0,VIH | Parotiditis | Sifilis,93.26654987786524,10561,9346,1215,0.1150459236814695,6.366631947732222,6.6164134389043445,4.445267489711934,1.429504781744153,0.0368336331786762,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",868.596149259378,0,0,0.0,11.70838533490441,99.36934391851712,-0.6585862507640687,5.0
13105,El Bosque,155257.0,143714.0,10652.0,6.860882279059881,37.0,31.0,10.971926269356342,12.114082741328875,58.93712654010893,71.02159953298307,0.4970013113236655,1212.0,634.0,111.0,467.0,"VIH, Parotiditis, Coqueluche",78.06411305126339,9517,9046,471,4.949038562572239,7.223915099295997,7.369334512491709,4.43099787685775,1.774613848901965,3.4254491961752653,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",612.9836335881796,0,0,0.0,11.952837087346094,40.22898642310774,-1.142156471972534,6.0
13107,Huechuraba,101808.0,92790.0,8381.0,8.28,36.0,35.0,12.77,14.12,63.92,75.8,44.0,832.0,456.0,68.0,308.0,VIH | Parotiditis | Sifilis,81.72245796008173,6170,5743,427,6.92,6.09,6.22,4.27,1.37,3.42,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",606.0,0,0,0.0,11.530843965472574,35.095861462276744,-1.3499999999999996,1.0
13108,Independencia,116943.0,64272.0,51908.0,44.38743661441899,36.0,33.0,12.854490256989552,12.936710529785609,67.16144308373858,80.3780623734674,39.83546377452797,1642.0,607.0,786.0,0.0,Dato Faltante,156.38095238095238,10573,0,0,0.0,6.467889908256881,0.0,0.0,0.0,2.8563321668400645,Dato Faltante,1006.952380952381,0,0,0.0,11.66944191558223,26.933510659666112,-0.08222027279605726,3.0
13109,La Cisterna,103157.0,82209.0,19762.0,19.15720697577479,37.0,32.0,12.724804060352865,13.401106500691563,0.6740233337606916,0.787795936121295,0.4479394756049632,714.0,333.0,149.0,232.0,VIH | Parotiditis | Coqueluche,69.21488604748102,7338,6249,1089,0.1484055600981193,6.360997547015535,6.6426628260521685,4.744719926538108,1.6107931316434996,0.037884982284001,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",711.342904504784,0,0,0.0,11.544007378533257,99.30392751336397,-0.6763024403386986,5.0
13110,La Florida,374836.0,335340.0,36685.0,9.786946824744687,38.0,34.0,12.846742116528745,13.96530903502031,65.99295673680061,78.78579385361378,46.80625237440616,2128.0,1539.0,342.0,247.0,VIH | Sifilis | Parotiditis,56.77149473369687,49846,46736,3110,6.239216787706135,6.002897539774099,6.132361800395881,4.133388566694284,1.4035218054774716,2.9992376519680617,H25.9 | K80.2 | Z51.1,1329.8082361352697,0,0,0.0,12.834243875961102,32.7455548427161,-1.118566918491565,4.0
13111,La Granja,112022.0,101705.0,9550.0,8.525111138883434,39.0,32.0,10.85673384925022,12.150498640072527,59.35718379536063,72.13942914877495,49.86421223026395,943.0,454.0,108.0,381.0,VIH | Parotiditis | Coqueluche,84.17989323525737,14803,13943,860,5.809633182463014,5.393568871174762,5.440436061105931,4.633720930232558,1.482875092886577,2.526514895629264,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99),1321.4368606166645,0,0,0.0,11.626450559559094,39.545603107474236,-1.2937647908223067,7.0
